Bike number,Bike serviceable,Station number,Station name,Station capacity
W00168,t,31060,S Arlington Mill Dr & Campbell Ave,12
W00169,t,31249,Jefferson Memorial,31
W00170,t,31090,6th & S Ball St,13
W00171,t,31236,37th & O St NW / Georgetown University,5
W00172,t,31314,34th & Water St NW,24
W00173,t,31622,13th & D St NE,35
W00174,t,31246,M St & Pennsylvania Ave NW,10
W00175,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W00176,t,31234,20th & O St NW / Dupont South,9
W00178,f,,,
W00179,t,31639,2nd & G St NE,36
W00181,t,31318,Connecticut Ave & Yuma St NW,23
W00182,t,31300,Van Ness Metro / UDC,9
W00183,t,31611,13th & H St NE,29
W00185,t,31293,31st & Water St NW,15
W00186,t,31312,Wisconsin Ave & O St NW,16
W00187,t,31125,15th & W St NW,24
W00189,t,31021,Clarendon Blvd & N Fillmore St,12
W00190,t,31016,Clarendon Blvd & Pierce St,17
W00191,t,31208,M St & New Jersey Ave SE,15
W00192,t,31606,Potomac & Pennsylvania Ave SE,15
W00193,t,31645,6th & K St NE,23
W00194,t,31623,Columbus Circle / Union Station,51
W00195,t,31066,Columbia Pike & S Orme St,12
W00196,t,31408,Takoma Metro,12
W00197,t,31641,2nd St & Massachusetts Ave NE,33
W00198,f,,,
W00199,t,31005,Pentagon City Metro / 12th & S Hayes St,17
W00200,t,31075,Rolfe St & 9th St S,13
W00201,t,31042,Market Square / King St & Royal St,13
W00202,t,32010,Philadelphia & Maple Ave,28
W00203,f,,,
W00204,t,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,18
W00205,t,31907,Franklin & S Washington St,21
W00206,t,31101,14th & V St NW,42
W00207,t,32010,Philadelphia & Maple Ave,28
W00208,t,31108,4th & M St SW,28
W00209,t,31638,1st & H St NW,18
W00210,t,32008,Cordell & Norfolk Ave,10
W00211,t,31107,Lamont & Mt Pleasant NW,25
W00213,t,31076,Shirlington Transit Center / S Quincy & Randolph St,16
W00214,t,31407,14th St & Colorado Ave NW,7
W00216,t,31309,Fessenden St & Wisconsin Ave NW,8
W00217,t,31016,Clarendon Blvd & Pierce St,17
W00219,t,31514,Hamlin & 7th St NE,13
W00220,t,31034,N Randolph St & Fairfax Dr,13
W00221,t,31511,12th & Irving St NE,16
W00222,t,31617,Bladensburg Rd & Benning Rd NE,24
W00224,t,31620,5th & F St NW,19
W00225,t,31103,16th & Harvard St NW,17
W00226,t,31238,14th & G St NW,5
W00227,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W00228,t,31223,Convention Center / 7th & M St NW,21
W00230,t,31414,Georgia Ave & Piney Branch Rd NW,12
W00231,t,31281,8th & O St NW,26
W00232,t,31614,11th & H St NE,23
W00234,t,31917,N Lynn St & Fairfax Dr,17
W00235,t,31229,New Hampshire Ave & T St NW,25
W00236,t,31712,Oklahoma Ave & D St NE,27
W00237,t,31209,1st & N St  SE,35
W00238,t,31051,Arlington Blvd & N Queen St,17
W00239,t,31645,6th & K St NE,23
W00240,t,31615,6th & H St NE,35
W00241,t,31075,Rolfe St & 9th St S,13
W00242,t,31103,16th & Harvard St NW,17
W00243,f,,,
W00244,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W00245,t,31034,N Randolph St & Fairfax Dr,13
W00246,t,31243,Maryland & Independence Ave SW,15
W00247,t,31631,8th & F St NE,19
W00248,t,31117,15th & Euclid St  NW,15
W00249,t,31641,2nd St & Massachusetts Ave NE,33
W00252,t,31629,8th & East Capitol St NE,10
W00253,t,31014,Lynn & 19th St North,28
W00254,t,31212,21st & M St NW,17
W00256,t,31031,15th & N Scott St,14
W00258,t,31288,4th St & Madison Dr NW,6
W00259,t,31275,New Hampshire Ave & 24th St NW,7
W00260,t,31504,10th & Monroe St NE,3
W00261,t,31645,6th & K St NE,23
W00263,f,,,
W00264,t,31607,14th & D St SE,21
W00265,t,31014,Lynn & 19th St North,28
W00266,t,31609,6th & Water St SW / SW Waterfront,26
W00267,t,31125,15th & W St NW,24
W00268,f,,,
W00269,t,31057,S Four Mile Run Dr & S Shirlington Rd,9
W00270,t,31629,8th & East Capitol St NE,10
W00272,t,31263,10th & K St NW,14
W00273,t,31644,12th St & Pennsylvania Ave SE,25
W00275,t,31062,S George Mason Dr & 13th St S,9
W00276,t,31011,23rd & Crystal Dr,20
W00277,t,31014,Lynn & 19th St North,28
W00279,f,,,
W00280,t,31414,Georgia Ave & Piney Branch Rd NW,12
W00281,t,31264,6th St & Indiana Ave NW,13
W00282,t,31623,Columbus Circle / Union Station,51
W00283,t,31010,S Glebe & Potomac Ave,15
W00285,f,,,
W00286,t,31918,Madison & Fairfax St,15
W00287,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W00288,f,,,
W00289,t,31116,California St & Florida Ave NW,21
W00290,t,31608,8th & Eye St SE / Barracks Row,14
W00291,t,31232,7th & F St NW/Portrait Gallery,23
W00292,t,31639,2nd & G St NE,36
W00293,t,31711,Deanwood Rec Center,6
W00294,t,31233,17th & K St NW / Farragut Square,9
W00295,t,31056,S Troy St & 26th St S,9
W00300,t,31317,Wisconsin Ave & Ingomar St NW,12
W00301,t,31101,14th & V St NW,42
W00302,t,31221,18th & M St NW,13
W00303,f,,,
W00305,t,31633,Independence Ave & L'Enfant Plaza SW/DOE,13
W00307,t,31229,New Hampshire Ave & T St NW,25
W00308,t,32002,Bethesda Ave & Arlington Rd,22
W00310,t,31056,S Troy St & 26th St S,9
W00311,t,31631,8th & F St NE,19
W00312,t,31633,Independence Ave & L'Enfant Plaza SW/DOE,13
W00314,t,31282,16th & R St NW,20
W00315,f,,,
W00316,t,31023,Fairfax Dr & Wilson Blvd,14
W00317,f,,,
W00318,t,32046,River Rd & Landy Ln,19
W00319,t,32036,Fenton St & Ellsworth Dr ,2
W00321,t,31014,Lynn & 19th St North,28
W00322,t,31219,10th St & Constitution Ave NW,13
W00324,t,31118,3rd & Elm St NW,20
W00325,t,31281,8th & O St NW,26
W00326,t,31612,D St & Maryland Ave NE,28
W00327,f,,,
W00328,t,31024,Virginia Square Metro / N Monroe St & 9th St N,20
W00329,f,,,
W00331,t,31088,Mount Vernon Ave & Kennedy St,10
W00332,t,31076,Shirlington Transit Center / S Quincy & Randolph St,16
W00333,t,31000,Eads St & 15th St S,13
W00334,f,,,
W00335,t,31630,15th & East Capitol St NE,18
W00336,t,31405,Georgia Ave & Emerson St NW,21
W00337,t,32045,Shady Grove Metro West,16
W00338,t,31244,4th & E St SW,19
W00340,t,31638,1st & H St NW,18
W00341,t,31029,N Veitch  & 20th St N,20
W00342,t,31030,Lee Hwy & N Adams St,4
W00343,t,32051,Connecticut Ave & Chevy Chase Lake Dr,7
W00345,t,31009,27th & Crystal Dr,12
W00346,t,31632,15th & F St NE,25
W00347,t,32019,East West Hwy & Blair Mill Rd,13
W00348,t,31070,Arlington Blvd & Fillmore St,18
W00349,f,,,
W00351,t,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,22
W00352,t,31013,23rd & Eads St,17
W00353,t,31273,Hains Point/Buckeye & Ohio Dr SW,19
W00354,t,31112,Harvard St & Adams Mill Rd NW,17
W00355,f,,,
W00356,t,31115,Columbia Rd & Georgia Ave NW,22
W00357,t,32033,Piccard & W Gude Dr,11
W00358,t,31242,18th St & Pennsylvania Ave NW,5
W00359,t,31111,10th & U St NW,17
W00360,t,31102,11th & Kenyon St NW,30
W00361,f,,,
W00364,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W00365,t,31006,S Joyce & Army Navy Dr,22
W00366,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W00367,f,,,
W00368,t,31627,M St & Delaware Ave NE,21
W00369,t,31907,Franklin & S Washington St,21
W00370,f,,,
W00371,f,,,
W00372,t,31281,8th & O St NW,26
W00373,t,31115,Columbia Rd & Georgia Ave NW,22
W00374,t,31011,23rd & Crystal Dr,20
W00375,t,31012,26th & S Clark St,11
W00377,t,31246,M St & Pennsylvania Ave NW,10
W00378,t,31268,12th & U St NW,36
W00379,t,31067,Columbia Pike & S Walter Reed Dr,12
W00380,t,31405,Georgia Ave & Emerson St NW,21
W00381,t,31047,Braddock Rd Metro,6
W00382,t,31224,19th & L St NW,13
W00383,t,31041,Prince St & Union St,23
W00384,t,32011,Maple & Ritchie Ave,28
W00385,t,31286,11th & O St NW,19
W00386,t,32055,Woodmont Ave & Strathmore St,12
W00387,t,31108,4th & M St SW,28
W00388,t,32023,Montgomery College/W Campus Dr & Mannakee St,8
W00389,t,31503,Florida Ave & R St NW,27
W00390,t,31610,Eastern Market / 7th & North Carolina Ave SE,8
W00391,t,32212,New Dominion Pkwy & Fountain Dr,5
W00392,t,31055,28th St S & S Meade St,21
W00393,t,31916,Potomac & Swann Ave,27
W00394,t,31314,34th & Water St NW,24
W00395,t,31626,15th St & Massachusetts Ave SE,23
W00397,t,31241,Thomas Circle,6
W00398,t,31021,Clarendon Blvd & N Fillmore St,12
W00399,t,31212,21st & M St NW,17
W00400,t,31055,28th St S & S Meade St,21
W00401,t,31101,14th & V St NW,42
W00402,t,32013,Montgomery & East Ln,4
W00403,t,31217,USDA / 12th & Independence Ave SW,10
W00404,f,,,
W00405,t,31600,5th & K St NW,28
W00406,t,31622,13th & D St NE,35
W00407,t,31282,16th & R St NW,20
W00408,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W00409,t,31402,14th St Heights / 14th & Crittenden St NW,6
W00410,t,31037,Ballston Metro / N Stuart & 9th St N,7
W00411,t,32029,Offutt Ln & Chevy Chase Dr,7
W00412,t,31600,5th & K St NW,28
W00413,t,31305,Connecticut Ave & Newark St NW / Cleveland Park,16
W00414,t,31603,1st & M St NE,17
W00415,t,31708,Anacostia Ave & Benning Rd NE / River Terrace ,21
W00416,t,31212,21st & M St NW,17
W00417,t,31906,Commonwealth Ave & Oak St,18
W00418,t,31204,20th & E St NW,14
W00419,t,31506,1st & Rhode Island Ave NW,18
W00420,t,31002,20th & Crystal Dr,15
W00421,t,31055,28th St S & S Meade St,21
W00422,t,31707,Benning Rd & East Capitol St NE / Benning Rd Metro,10
W00425,t,31506,1st & Rhode Island Ave NW,18
W00426,f,,,
W00427,t,31080,Lee Hwy & N Scott St,5
W00428,t,31616,3rd & H St NE,28
W00429,t,31604,3rd & H St NW,16
