Bike number,Bike serviceable,Station number,Station name,Station capacity
W00709,t,31010,S Glebe & Potomac Ave,15
W00710,t,32019,East West Hwy & Blair Mill Rd,13
W00712,t,31268,12th & U St NW,36
W00713,t,31645,6th & K St NE,23
W00714,f,,,
W00715,t,31601,19th & East Capitol St SE,9
W00717,t,31114,18th St & Wyoming Ave NW,17
W00718,t,31061,S Kenmore & 24th St S,7
W00719,t,31262,11th & F St NW,8
W00720,t,31086,Mount Vernon Ave & E Del Ray Ave,16
W00721,t,31203,14th & Rhode Island Ave NW,20
W00722,t,31512,Neal St & Trinidad Ave NE,20
W00723,f,,,
W00724,t,31639,2nd & G St NE,36
W00725,t,31318,Connecticut Ave & Yuma St NW,23
W00726,t,32007,E Montgomery Ave & Maryland Ave,15
W00728,t,31007,Crystal City Metro / 18th & Bell St,13
W00729,f,,,
W00730,t,31518,New York Ave & Hecht Ave NE,24
W00731,t,32045,Shady Grove Metro West,16
W00732,t,31047,Braddock Rd Metro,6
W00733,f,,,
W00734,t,31518,New York Ave & Hecht Ave NE,24
W00735,f,,,
W00736,t,31625,3rd & G St SE,27
W00737,t,32032,Fleet St & Ritchie Pkwy,17
W00738,t,31641,2nd St & Massachusetts Ave NE,33
W00739,t,31105,14th & Harvard St NW,12
W00740,t,31905,Kennebec St & 11th St N,16
W00741,f,,,
W00742,t,31203,14th & Rhode Island Ave NW,20
W00743,f,,,
W00745,t,31211,Kennedy Center,10
W00746,t,31209,1st & N St  SE,35
W00747,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W00748,t,31640,Maryland Ave & E St NE,23
W00749,t,31290,17th St & Independence Ave SW,9
W00750,t,31412,3rd St & Riggs Rd NE,20
W00751,t,31214,17th & Corcoran St NW,30
W00752,t,31503,Florida Ave & R St NW,27
W00753,t,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,21
W00754,f,,,
W00755,t,31405,Georgia Ave & Emerson St NW,21
W00756,t,31045,Commerce St & Fayette St,12
W00757,f,,,
W00759,f,,,
W00760,t,31058,S Oakland St & Columbia Pike,12
W00761,t,31041,Prince St & Union St,23
W00762,t,31101,14th & V St NW,42
W00763,f,,,
W00764,t,31603,1st & M St NE,17
w00765,t,31500,4th & W St NE,19
W00766,t,31268,12th & U St NW,36
W00767,t,31609,6th & Water St SW / SW Waterfront,26
W00768,t,31412,3rd St & Riggs Rd NE,20
W00769,t,31031,15th & N Scott St,14
W00770,t,31639,2nd & G St NE,36
W00771,t,32011,Maple & Ritchie Ave,28
W00772,f,,,
W00773,f,,,
W00774,t,31229,New Hampshire Ave & T St NW,25
W00775,t,31014,Lynn & 19th St North,28
W00776,t,31209,1st & N St  SE,35
W00777,t,31052,Potomac Ave & 35th St S,15
W00778,t,31109,7th & T St NW,29
W00781,t,31041,Prince St & Union St,23
W00782,t,31645,6th & K St NE,23
W00783,f,,,
W00784,t,31645,6th & K St NE,23
W00785,t,31285,22nd & P ST NW,6
W00787,t,31517,Union Market/6th St & Neal Pl NE,16
W00789,t,31098,King St Metro North / Cameron St,19
W00790,t,31412,3rd St & Riggs Rd NE,20
W00791,f,,,
W00792,t,31078,Arlington Blvd & S George Mason Dr/NFATC,8
W00793,t,32028,Norfolk & Rugby Ave,16
W00794,t,31505,Eckington Pl & Q St NE,16
W00795,t,31640,Maryland Ave & E St NE,23
W00796,t,31804,Anacostia Library,10
W00797,t,31310,Connecticut & Nebraska Ave NW,12
W00798,t,31042,Market Square / King St & Royal St,13
W00799,t,31712,Oklahoma Ave & D St NE,27
W00801,t,31035,N Quincy St & Glebe Rd,13
W00802,t,31617,Bladensburg Rd & Benning Rd NE,24
W00803,t,31611,13th & H St NE,29
W00804,t,31618,4th & East Capitol St NE,16
W00805,t,31014,Lynn & 19th St North,28
W00807,f,,,
W00808,t,31518,New York Ave & Hecht Ave NE,24
W00809,t,31090,6th & S Ball St,13
W00810,t,31048,King St Metro South,6
W00811,f,,,
W00812,t,32018,Needwood Rd & Eagles Head Ct,8
W00814,t,31209,1st & N St  SE,35
W00815,t,31231,14th & D St NW / Ronald Reagan Building,11
W00816,t,32217,Sunset Hills Rd & Discovery Square,8
W00817,t,31281,8th & O St NW,26
W00818,t,31282,16th & R St NW,20
W00819,t,31605,3rd & D St SE,15
W00820,t,31406,14th & Upshur St NW,7
W00821,t,31077,Iwo Jima Memorial/N Meade & 14th St N,16
W00822,f,,,
W00823,t,31090,6th & S Ball St,13
W00824,t,31268,12th & U St NW,36
W00825,t,31290,17th St & Independence Ave SW,9
W00826,t,31107,Lamont & Mt Pleasant NW,25
W00829,t,31280,11th & S St NW,35
W00830,t,31053,Columbia Pike & S Courthouse Rd,12
W00831,t,31059,S Four Mile Run & Walter Reed Dr,8
W00832,t,31500,4th & W St NE,19
W00833,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W00834,t,31087,Monroe Ave & Leslie Ave,11
W00835,t,31614,11th & H St NE,23
W00836,f,,,
W00837,t,31638,1st & H St NW,18
W00838,t,31125,15th & W St NW,24
W00839,t,31209,1st & N St  SE,35
W00840,t,31092,Lee Hwy & N Monroe St,9
W00841,f,,,
W00842,t,31617,Bladensburg Rd & Benning Rd NE,24
W00843,t,31639,2nd & G St NE,36
W00844,t,31209,1st & N St  SE,35
W00845,t,31635,Potomac Ave & 8th St SE,9
W00846,t,31203,14th & Rhode Island Ave NW,20
W00847,t,31087,Monroe Ave & Leslie Ave,11
W00848,t,32213,Sunset Hills & Old Reston Ave,10
W00849,t,31023,Fairfax Dr & Wilson Blvd,14
W00850,t,31051,Arlington Blvd & N Queen St,17
W00851,t,31902,Wilson Blvd & N Illinois St ,17
W00852,t,31118,3rd & Elm St NW,20
W00853,t,32026,Carroll & Ethan Allen Ave,17
W00854,t,31265,5th St & Massachusetts Ave NW,24
W00855,t,31644,12th St & Pennsylvania Ave SE,25
W00856,f,,,
W00857,t,31274,10th & G St NW,14
W00859,t,31305,Connecticut Ave & Newark St NW / Cleveland Park,16
W00860,t,31520,24th & R St NE / National Arboretum,10
W00861,t,31616,3rd & H St NE,28
W00862,t,31026,Washington Blvd & 10th St N,5
W00863,f,,,
W00864,t,31282,16th & R St NW,20
W00866,t,31918,Madison & Fairfax St,15
W00867,t,31101,14th & V St NW,42
W00868,t,31622,13th & D St NE,35
W00869,t,31906,Commonwealth Ave & Oak St,18
W00870,t,31516,Rhode Island Ave Metro,9
W00871,t,31081,Duke St & John Carlyle St,7
W00872,t,31518,New York Ave & Hecht Ave NE,24
W00873,t,31617,Bladensburg Rd & Benning Rd NE,24
W00874,t,31116,California St & Florida Ave NW,21
W00875,t,31209,1st & N St  SE,35
W00876,t,31917,N Lynn St & Fairfax Dr,17
W00878,t,31119,14th & Belmont St NW,14
W00880,t,31246,M St & Pennsylvania Ave NW,10
W00881,t,31639,2nd & G St NE,36
W00882,t,31073,Washington Blvd & Walter Reed Dr ,10
W00883,t,31116,California St & Florida Ave NW,21
W00884,t,31203,14th & Rhode Island Ave NW,20
W00885,t,31101,14th & V St NW,42
W00886,f,,,
W00887,t,31200,Massachusetts Ave & Dupont Circle NW,4
W00888,t,31612,D St & Maryland Ave NE,28
W00889,t,31121,Calvert St & Woodley Pl NW,13
W00890,t,31268,12th & U St NW,36
W00891,t,31909,Mount Vernon Ave & Four Mile Run Park,13
W00892,t,31630,15th & East Capitol St NE,18
W00894,t,31032,Washington Blvd & 7th St N,8
W00895,t,31102,11th & Kenyon St NW,30
W00897,t,31001,18th & Eads St.,7
W00898,t,31621,4th & D St NW / Judiciary Square,16
W00899,t,31116,California St & Florida Ave NW,21
W00901,t,31503,Florida Ave & R St NW,27
W00902,t,31278,18th & R St NW,11
W00903,t,31244,4th & E St SW,19
W00904,t,31101,14th & V St NW,42
W00905,t,31905,Kennebec St & 11th St N,16
W00906,t,31635,Potomac Ave & 8th St SE,9
W00907,t,31623,Columbus Circle / Union Station,51
W00908,t,31619,Lincoln Park / 13th & East Capitol St NE ,30
W00909,t,31712,Oklahoma Ave & D St NE,27
W00910,t,31052,Potomac Ave & 35th St S,15
W00911,t,31914,Lee Center,16
W00912,t,31005,Pentagon City Metro / 12th & S Hayes St,17
W00913,t,31012,26th & S Clark St,11
W00914,t,31282,16th & R St NW,20
W00915,t,31052,Potomac Ave & 35th St S,15
W00916,f,,,
W00917,t,31027,Key Blvd & N Quinn St,7
W00918,t,32011,Maple & Ritchie Ave,28
W00919,t,31125,15th & W St NW,24
W00920,t,31221,18th & M St NW,13
W00921,t,31262,11th & F St NW,8
W00922,t,31121,Calvert St & Woodley Pl NW,13
W00923,t,31211,Kennedy Center,10
W00925,t,31286,11th & O St NW,19
W00926,t,31249,Jefferson Memorial,31
W00927,t,32056,East West Hwy & 16th St,6
W00928,t,31812,16th & Q St SE / Anacostia HS,14
W00929,f,,,
W00930,t,31501,12th & Newton St NE,5
W00931,t,31913,Commonwealth & E Monroe Ave,14
W00932,t,31247,Jefferson Dr & 14th St SW,14
W00933,t,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,22
W00935,t,31041,Prince St & Union St,23
W00936,t,31243,Maryland & Independence Ave SW,15
W00937,t,31101,14th & V St NW,42
W00938,t,31620,5th & F St NW,19
W00939,t,31006,S Joyce & Army Navy Dr,22
W00940,t,31807,Pleasant St & MLK Ave SE,10
W00941,t,31245,7th & R St NW / Shaw Library,26
W00942,f,,,
W00943,t,31033,Barcroft Community Center,11
W00945,t,31404,9th & Upshur St NW,14
W00946,f,,,
W00947,t,31243,Maryland & Independence Ave SW,15
W00948,f,,,
W00949,t,31306,39th & Calvert St NW / Stoddert,15
W00951,t,31609,6th & Water St SW / SW Waterfront,26
W00952,t,31645,6th & K St NE,23
W00953,t,31260,23rd & E St NW ,6
W00954,t,31101,14th & V St NW,42
W00955,f,,,
W00956,t,32048,Bethesda Metro,5
W00958,t,31041,Prince St & Union St,23
W00959,t,31606,Potomac & Pennsylvania Ave SE,15
W00960,t,31518,New York Ave & Hecht Ave NE,24
W00961,t,31512,Neal St & Trinidad Ave NE,20
W00962,t,31902,Wilson Blvd & N Illinois St ,17
W00963,t,31620,5th & F St NW,19
W00964,t,31910,Potomac Ave & Main Line Blvd,10
W00965,t,31909,Mount Vernon Ave & Four Mile Run Park,13
W00966,t,31087,Monroe Ave & Leslie Ave,11
W00967,t,31014,Lynn & 19th St North,28
W00968,t,31064,S Stafford & 34th St S,7
W00969,f,,,
W00970,t,31305,Connecticut Ave & Newark St NW / Cleveland Park,16
W00973,f,,,
W00974,t,31059,S Four Mile Run & Walter Reed Dr,8
W00975,t,31266,11th & M St NW,14
W00976,t,31638,1st & H St NW,18
W00977,t,31918,Madison & Fairfax St,15
W00978,t,31108,4th & M St SW,28
W00979,t,31094,Lee Hwy & N Kirkwood Rd,23
W00980,t,31503,Florida Ave & R St NW,27
W00981,t,31623,Columbus Circle / Union Station,51
W00982,t,31013,23rd & Eads St,17
W00983,t,31615,6th & H St NE,35
W00985,t,31060,S Arlington Mill Dr & Campbell Ave,12
W00986,t,31008,12th & Army Navy Dr,13
W00987,t,31503,Florida Ave & R St NW,27
W00988,t,31645,6th & K St NE,23
W00989,t,31249,Jefferson Memorial,31
W00990,t,31638,1st & H St NW,18
W00991,t,31201,15th & P St NW,16
W00992,t,31280,11th & S St NW,35
W00993,f,,,
W00994,t,31640,Maryland Ave & E St NE,23
W00995,t,31055,28th St S & S Meade St,21
W00996,t,31633,Independence Ave & L'Enfant Plaza SW/DOE,13
W00997,t,31057,S Four Mile Run Dr & S Shirlington Rd,9
W00998,t,31121,Calvert St & Woodley Pl NW,13
W00999,t,31622,13th & D St NE,35
W01000,t,31011,23rd & Crystal Dr,20
W01001,t,31258,Lincoln Memorial,10
W01002,t,31403,4th & Kennedy St NW,16
W01003,t,31625,3rd & G St SE,27
W01004,t,31109,7th & T St NW,29
W01005,f,,,
W01006,t,31041,Prince St & Union St,23
W01007,t,31101,14th & V St NW,42
W01008,t,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,21
W01009,t,31318,Connecticut Ave & Yuma St NW,23
W01010,t,31626,15th St & Massachusetts Ave SE,23
W01011,t,31109,7th & T St NW,29
W01012,t,31202,14th & R St NW,20
W01013,t,31280,11th & S St NW,35
W01014,t,31631,8th & F St NE,19
W01015,t,31116,California St & Florida Ave NW,21
W01017,t,31305,Connecticut Ave & Newark St NW / Cleveland Park,16
W01018,t,31505,Eckington Pl & Q St NE,16
W01020,t,31307,3000 Connecticut Ave NW / National Zoo,11
W01021,f,,,
W01023,f,,,
W01024,t,31511,12th & Irving St NE,16
W01025,t,31219,10th St & Constitution Ave NW,13
W01026,t,31622,13th & D St NE,35
W01027,f,,,
W01028,t,31032,Washington Blvd & 7th St N,8
W01029,t,31626,15th St & Massachusetts Ave SE,23
W01030,f,,,
W01031,t,31915,Powhatan St & Bashford Ln,9
W01033,t,31500,4th & W St NE,19
W01034,t,31618,4th & East Capitol St NE,16
W01035,t,31266,11th & M St NW,14
W01036,f,,,
W01037,t,31624,North Capitol St & F St NW,24
W01038,t,31918,Madison & Fairfax St,15
W01040,t,31280,11th & S St NW,35
W01041,t,31509,New Jersey Ave & R St NW,27
W01042,t,31066,Columbia Pike & S Orme St,12
W01043,t,31288,4th St & Madison Dr NW,6
W01044,t,32046,River Rd & Landy Ln,19
W01047,t,31263,10th & K St NW,14
W01048,t,31094,Lee Hwy & N Kirkwood Rd,23
W01049,t,31203,14th & Rhode Island Ave NW,20
W01050,t,31622,13th & D St NE,35
W01051,t,31620,5th & F St NW,19
W01052,t,31404,9th & Upshur St NW,14
W01053,t,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,22
W01054,t,32008,Cordell & Norfolk Ave,10
W01055,t,32002,Bethesda Ave & Arlington Rd,22
W01056,t,31509,New Jersey Ave & R St NW,27
W01057,t,31228,8th & H St NW,24
W01059,t,31246,M St & Pennsylvania Ave NW,10
W01060,t,31608,8th & Eye St SE / Barracks Row,14
W01061,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W01064,t,32010,Philadelphia & Maple Ave,28
W01065,t,31280,11th & S St NW,35
W01066,t,31125,15th & W St NW,24
W01067,t,31014,Lynn & 19th St North,28
W01068,f,,,
W01069,t,31917,N Lynn St & Fairfax Dr,17
W01070,t,31039,Wilson Blvd & N Quincy St,7
W01071,t,31253,19th & K St NW,3
W01073,t,31078,Arlington Blvd & S George Mason Dr/NFATC,8
W01074,t,31644,12th St & Pennsylvania Ave SE,25
W01075,t,31008,12th & Army Navy Dr,13
W01078,f,,,
W01080,t,31102,11th & Kenyon St NW,30
W01081,f,,,
W01082,t,31045,Commerce St & Fayette St,12
W01083,t,31005,Pentagon City Metro / 12th & S Hayes St,17
W01084,t,31228,8th & H St NW,24
W01085,t,31009,27th & Crystal Dr,12
W01087,t,31520,24th & R St NE / National Arboretum,10
W01088,t,32011,Maple & Ritchie Ave,28
W01089,t,31612,D St & Maryland Ave NE,28
W01090,t,31300,Van Ness Metro / UDC,9
W01091,f,,,
W01092,t,31518,New York Ave & Hecht Ave NE,24
W01093,t,31050,Barton St & 10th St N,9
W01094,t,31509,New Jersey Ave & R St NW,27
W01095,t,31014,Lynn & 19th St North,28
W01096,t,31229,New Hampshire Ave & T St NW,25
W01097,f,,,
W01098,f,,,
W01099,t,31281,8th & O St NW,26
w01100,f,,,
W01101,t,31803,Good Hope Rd & 14th St SE,19
W01102,t,31801,Anacostia Metro,14
W01104,f,,,
W01106,t,31229,New Hampshire Ave & T St NW,25
W01107,t,31645,6th & K St NE,23
W01108,t,31638,1st & H St NW,18
W01109,t,31641,2nd St & Massachusetts Ave NE,33
W01110,f,,,
W01111,t,31623,Columbus Circle / Union Station,51
W01112,t,31109,7th & T St NW,29
W01113,t,31046,Henry St & Pendleton St,20
W01114,t,31400,Georgia & New Hampshire Ave NW,18
W01115,t,31118,3rd & Elm St NW,20
W01116,t,31101,14th & V St NW,42
w01117,t,31903,Royal & Wilkes St,17
W01119,t,31630,15th & East Capitol St NE,18
W01120,t,31615,6th & H St NE,35
W01122,t,31203,14th & Rhode Island Ave NW,20
W01123,t,31052,Potomac Ave & 35th St S,15
W01124,f,,,
W01125,t,31280,11th & S St NW,35
W01126,f,,,
W01127,t,31004,Aurora Hills Community Ctr/18th & Hayes St,19
W01128,t,31116,California St & Florida Ave NW,21
W01130,t,31300,Van Ness Metro / UDC,9
W01131,t,31033,Barcroft Community Center,11
W01132,t,31612,D St & Maryland Ave NE,28
W01133,f,,,
W01134,t,32049,Washington Adventist U / Flower Ave & Division St,14
W01135,t,31098,King St Metro North / Cameron St,19
W01136,t,31917,N Lynn St & Fairfax Dr,17
W01137,t,32006,13th St & Eastern Ave,9
W01138,t,31610,Eastern Market / 7th & North Carolina Ave SE,8
W01140,t,32049,Washington Adventist U / Flower Ave & Division St,14
W01141,t,31278,18th & R St NW,11
W01142,t,32007,E Montgomery Ave & Maryland Ave,15
W01143,t,31903,Royal & Wilkes St,17
W01144,f,,,
W01145,f,,,
W01147,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W01148,t,32016,Fallsgrove Dr & W Montgomery Ave,11
W01149,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W01150,t,31644,12th St & Pennsylvania Ave SE,25
W01151,t,31517,Union Market/6th St & Neal Pl NE,16
W01152,t,31616,3rd & H St NE,28
W01153,t,31608,8th & Eye St SE / Barracks Row,14
W01154,t,31512,Neal St & Trinidad Ave NE,20
W01155,t,31108,4th & M St SW,28
W01156,t,31014,Lynn & 19th St North,28
W01158,t,31263,10th & K St NW,14
W01159,t,31071,Long Bridge Park/Long Bridge Dr & 6th St S,12
W01160,t,31243,Maryland & Independence Ave SW,15
W01161,t,31286,11th & O St NW,19
W01162,t,31245,7th & R St NW / Shaw Library,26
W01163,t,31518,New York Ave & Hecht Ave NE,24
W01164,f,,,
W01165,t,31237,25th St & Pennsylvania Ave NW,18
W01166,t,31712,Oklahoma Ave & D St NE,27
W01167,t,31255,24th & N St NW,9
W01168,t,32057,Pooks Hill Rd & Linden Ave,7
W01169,t,32059,Takoma Park Rec Center,4
W01170,t,31242,18th St & Pennsylvania Ave NW,5
W01171,t,31239,17th & Rhode Island Ave NW,8
W01172,t,31083,Potomac Greens Dr & Slaters Ln,18
W01173,t,31014,Lynn & 19th St North,28
W01176,t,31280,11th & S St NW,35
W01177,t,31116,California St & Florida Ave NW,21
W01178,t,32055,Woodmont Ave & Strathmore St,12
W01179,t,31117,15th & Euclid St  NW,15
W01180,t,31917,N Lynn St & Fairfax Dr,17
W01181,t,31644,12th St & Pennsylvania Ave SE,25
W01182,f,,,
W01184,t,31512,Neal St & Trinidad Ave NE,20
W01185,t,31081,Duke St & John Carlyle St,7
W01186,t,31627,M St & Delaware Ave NE,21
W01187,t,31214,17th & Corcoran St NW,30
W01188,t,31906,Commonwealth Ave & Oak St,18
W01189,t,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,21
W01190,t,31622,13th & D St NE,35
W01191,t,31636,New Jersey Ave & N St NW/Dunbar HS,19
W01193,f,,,
W01194,t,31509,New Jersey Ave & R St NW,27
W01195,t,31116,California St & Florida Ave NW,21
W01196,t,32004,Fallsgrove Blvd & Fallsgrove Dr,13
W01197,t,31004,Aurora Hills Community Ctr/18th & Hayes St,19
W01198,t,31630,15th & East Capitol St NE,18
W01199,t,31066,Columbia Pike & S Orme St,12
W01200,t,31120,10th & Florida Ave NW,21
W01201,f,,,
W01202,t,31108,4th & M St SW,28
W01203,t,31217,USDA / 12th & Independence Ave SW,10
W01204,t,31518,New York Ave & Hecht Ave NE,24
W01205,t,31108,4th & M St SW,28
W01206,t,31268,12th & U St NW,36
W01207,t,32050,Spring St & Second Ave,10
W01208,t,31273,Hains Point/Buckeye & Ohio Dr SW,19
W01209,t,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,16
W01210,t,31014,Lynn & 19th St North,28
W01211,t,31520,24th & R St NE / National Arboretum,10
W01212,t,31508,Gallaudet / 8th St & Florida Ave NE,26
W01213,t,32011,Maple & Ritchie Ave,28
W01214,t,31102,11th & Kenyon St NW,30
W01215,t,32045,Shady Grove Metro West,16
W01216,t,31273,Hains Point/Buckeye & Ohio Dr SW,19
W01217,t,31108,4th & M St SW,28
W01218,t,31622,13th & D St NE,35
W01219,t,31268,12th & U St NW,36
W01220,t,31244,4th & E St SW,19
W01221,t,31644,12th St & Pennsylvania Ave SE,25
W01222,t,31012,26th & S Clark St,11
W01223,t,31305,Connecticut Ave & Newark St NW / Cleveland Park,16
W01224,t,31007,Crystal City Metro / 18th & Bell St,13
W01225,t,31313,Connecticut Ave & Tilden St NW,8
W01226,f,,,
W01227,t,31408,Takoma Metro,12
W01228,f,,,
W01229,t,31622,13th & D St NE,35
W01230,t,32011,Maple & Ritchie Ave,28
W01231,t,31907,Franklin & S Washington St,21
W01232,t,31067,Columbia Pike & S Walter Reed Dr,12
W01233,f,,,
W01234,t,31063,S George Mason Dr & Four Mile Run,14
W01235,t,31309,Fessenden St & Wisconsin Ave NW,8
W01236,t,31200,Massachusetts Ave & Dupont Circle NW,4
W01237,t,31708,Anacostia Ave & Benning Rd NE / River Terrace ,21
W01238,t,31612,D St & Maryland Ave NE,28
W01239,t,31312,Wisconsin Ave & O St NW,16
W01240,t,31603,1st & M St NE,17
W01241,t,31641,2nd St & Massachusetts Ave NE,33
W01242,t,31097,Saint Asaph & Madison St,21
W01243,t,31916,Potomac & Swann Ave,27
W01244,t,32028,Norfolk & Rugby Ave,16
W01245,t,31116,California St & Florida Ave NW,21
W01246,t,32010,Philadelphia & Maple Ave,28
W01249,f,,,
W01250,t,31640,Maryland Ave & E St NE,23
W01251,t,31617,Bladensburg Rd & Benning Rd NE,24
W01252,t,31229,New Hampshire Ave & T St NW,25
W01253,t,31073,Washington Blvd & Walter Reed Dr ,10
W01254,t,31503,Florida Ave & R St NW,27
W01255,t,31041,Prince St & Union St,23
W01256,f,,,
W01257,t,31254,15th & K St NW,13
W01258,t,31082,Eisenhower Ave & Mill Race Ln,9
W01259,t,31615,6th & H St NE,35
W01260,f,,,
W01261,t,31052,Potomac Ave & 35th St S,15
W01262,t,31053,Columbia Pike & S Courthouse Rd,12
W01263,t,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,22
W01264,t,31610,Eastern Market / 7th & North Carolina Ave SE,8
W01265,t,31904,East Falls Church Metro/Sycamore St & 19th St N,7
W01266,t,32034,Ripley & Bonifant St,8
W01267,t,31091,S Joyce & 16th St S,16
W01268,t,31626,15th St & Massachusetts Ave SE,23
W01269,t,31500,4th & W St NE,19
W01270,t,31622,13th & D St NE,35
W01271,t,31623,Columbus Circle / Union Station,51
W01272,t,31639,2nd & G St NE,36
W01273,t,31309,Fessenden St & Wisconsin Ave NW,8
W01274,t,31085,Mount Vernon Ave & E Nelson Ave,13
W01275,t,31029,N Veitch  & 20th St N,20
W01276,t,31011,23rd & Crystal Dr,20
W01278,t,31217,USDA / 12th & Independence Ave SW,10
W01279,t,31639,2nd & G St NE,36
W01280,t,31273,Hains Point/Buckeye & Ohio Dr SW,19
W01281,t,31094,Lee Hwy & N Kirkwood Rd,23
W01283,t,31517,Union Market/6th St & Neal Pl NE,16
W01284,t,31083,Potomac Greens Dr & Slaters Ln,18
W01285,t,32011,Maple & Ritchie Ave,28
W01287,t,31609,6th & Water St SW / SW Waterfront,26
W01288,t,31518,New York Ave & Hecht Ave NE,24
W01289,t,31708,Anacostia Ave & Benning Rd NE / River Terrace ,21
W01290,t,31314,34th & Water St NW,24
W01291,t,31804,Anacostia Library,10
W01292,t,31632,15th & F St NE,25
W01293,t,31513,Rhode Island Ave & V St NE,6
W01294,t,31114,18th St & Wyoming Ave NW,17
W01296,t,31019,Wilson Blvd & N Edgewood St,13
W01298,t,31612,D St & Maryland Ave NE,28
W01299,t,31234,20th & O St NW / Dupont South,9
W01300,f,,,
W01301,t,31055,28th St S & S Meade St,21
W01302,t,31223,Convention Center / 7th & M St NW,21
W01303,t,31503,Florida Ave & R St NW,27
W01304,t,31622,13th & D St NE,35
W01305,t,31708,Anacostia Ave & Benning Rd NE / River Terrace ,21
W01306,t,31215,Georgetown Harbor / 30th St NW,19
W01307,t,31281,8th & O St NW,26
W01308,f,,,
W01309,t,31070,Arlington Blvd & Fillmore St,18
W01310,t,31286,11th & O St NW,19
W01311,t,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,15
W01312,t,31273,Hains Point/Buckeye & Ohio Dr SW,19
W01313,t,31639,2nd & G St NE,36
W01314,t,31406,14th & Upshur St NW,7
W01315,t,31101,14th & V St NW,42
W01316,t,32011,Maple & Ritchie Ave,28
W01318,t,31280,11th & S St NW,35
W01319,t,31114,18th St & Wyoming Ave NW,17
W01320,t,31618,4th & East Capitol St NE,16
W01322,t,31307,3000 Connecticut Ave NW / National Zoo,11
W01323,f,,,
W01324,t,31268,12th & U St NW,36
W01325,t,31042,Market Square / King St & Royal St,13
W01326,t,31091,S Joyce & 16th St S,16
W01327,t,31223,Convention Center / 7th & M St NW,21
W01328,t,31060,S Arlington Mill Dr & Campbell Ave,12
W01329,t,31907,Franklin & S Washington St,21
W01330,t,31273,Hains Point/Buckeye & Ohio Dr SW,19
W01331,t,31282,16th & R St NW,20
W01332,t,32218,Temporary Rd & Old Reston Ave,7
W01334,t,31109,7th & T St NW,29
W01335,t,32023,Montgomery College/W Campus Dr & Mannakee St,8
W01336,f,,,
W01337,t,32002,Bethesda Ave & Arlington Rd,22
W01338,t,31800,Alabama & MLK Ave SE,8
W01339,t,31713,Division Ave & Foote St NE,6
W01340,t,31269,3rd St & Pennsylvania Ave SE,16
W01341,f,,,
W01342,t,31265,5th St & Massachusetts Ave NW,24
W01343,t,32032,Fleet St & Ritchie Pkwy,17
W01344,t,31284,18th & C St NW,10
W01345,t,31612,D St & Maryland Ave NE,28
W01346,t,31024,Virginia Square Metro / N Monroe St & 9th St N,20
W01347,t,32011,Maple & Ritchie Ave,28
W01348,f,,,
W01349,f,,,
W01350,t,31219,10th St & Constitution Ave NW,13
W01351,t,31083,Potomac Greens Dr & Slaters Ln,18
W01352,f,,,
W01353,t,31405,Georgia Ave & Emerson St NW,21
W01354,f,,,
W01355,t,31607,14th & D St SE,21
W01356,t,31108,4th & M St SW,28
W01357,t,31273,Hains Point/Buckeye & Ohio Dr SW,19
W01358,t,31011,23rd & Crystal Dr,20
W01359,f,,,
W01360,t,31617,Bladensburg Rd & Benning Rd NE,24
W01361,t,32037,King Farm Blvd & Pleasant Dr,16
W01362,t,31405,Georgia Ave & Emerson St NW,21
W01363,t,31235,19th St & Constitution Ave NW,14
W01364,t,31314,34th & Water St NW,24
W01365,t,31305,Connecticut Ave & Newark St NW / Cleveland Park,16
W01366,t,31107,Lamont & Mt Pleasant NW,25
W01367,t,31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,11
W01368,t,31611,13th & H St NE,29
W01369,t,31008,12th & Army Navy Dr,13
W01370,t,32054,Lyttonsville Rd & Lyttonsville Pl,10
W01371,t,31067,Columbia Pike & S Walter Reed Dr,12
W01372,t,31116,California St & Florida Ave NW,21
W01373,t,32046,River Rd & Landy Ln,19
W01374,t,31091,S Joyce & 16th St S,16
W01376,f,,,
W01377,t,31118,3rd & Elm St NW,20
W01379,f,,,
W01380,t,31909,Mount Vernon Ave & Four Mile Run Park,13
W01381,t,31408,Takoma Metro,12
W01383,t,31631,8th & F St NE,19
W01384,t,31101,14th & V St NW,42
W01386,t,31079,Lee Hwy & N Cleveland St,18
W01387,t,31111,10th & U St NW,17
W01388,t,31608,8th & Eye St SE / Barracks Row,14
W01389,t,31506,1st & Rhode Island Ave NW,18
W01390,f,,,
W01391,t,32011,Maple & Ritchie Ave,28
